"Время срабатывания";"Сообщение";"Квитировано";"Время квитирования";"Пользователь";
"25.11.2021 11:46:49.525";"ГРС Волчиха. Пользователь: Администратор отправил на печать все страницы журнала сообщений, на - АРМ [astra] ";"Нет";"";"";
"25.11.2021 11:46:48.676";"ГРС Волчиха. Пользователь: Администратор отправил на печать все страницы журнала сообщений, на - АРМ [astra] ";"Нет";"";"";
"25.11.2021 11:46:47.575";"ГРС Волчиха. Пользователь: Администратор отправил на печать все страницы журнала сообщений, на - АРМ [astra] ";"Нет";"";"";
"25.11.2021 11:46:32.067";"ГРС Волчиха. Пользователь: Администратор отправил на печать все страницы журнала сообщений, на - АРМ [astra] ";"Нет";"";"";
"25.11.2021 11:22:47.943";"ГРС Волчиха. Кран на байпасе. Команда ТУ <<Закрыть>>  [Администратор - АРМ [astra]] ";"Нет";"";"";
"25.11.2021 11:22:32.381";"ГРС Волчиха. Панельный компьютер. Оперативная память загружена более чем на 70%. Сигнал снят";"Нет";"";"";
"25.11.2021 09:33:07.386";"ГРС Волчиха. Панельный компьютер. Оперативная память загружена более чем на 70%. Сигнал снят";"Нет";"";"";
"22.11.2021 14:08:03.226";"ГРС Волчиха. КЦ. Контроллер. Нет связи";"Нет";"";"";
"22.11.2021 17:06:48.726";"ГРС Волчиха. Перепад давления на фильтрах. Значение верхнего аварийного предела. Уставка включена";"Нет";"";"";
"22.11.2021 17:06:45.124";"ГРС Волчиха. Перепад давления на фильтрах. Значение верхнего аварийного предела. Уставка отключена";"Нет";"";"";
"22.11.2021 17:06:42.225";"ГРС Волчиха. Перепад давления на фильтрах. Значение верхнего предупредительного предела. Уставка включена";"Нет";"";"";
"22.11.2021 17:06:36.723";"ГРС Волчиха. Перепад давления на фильтрах. Значение верхнего предупредительного предела. Уставка отключена";"Нет";"";"";
"22.11.2021 17:06:34.024";"ГРС Волчиха. Перепад давления на фильтрах. Значение тех. уставки 4. Уставка включена";"Нет";"";"";
"22.11.2021 17:06:31.324";"ГРС Волчиха. Перепад давления на фильтрах. Значение тех. уставки 4. Уставка отключена";"Нет";"";"";
"22.11.2021 17:06:28.125";"ГРС Волчиха. Перепад давления на фильтрах. Значение  тех. уставки 3. Уставка включена";"Нет";"";"";
"22.11.2021 17:06:24.926";"ГРС Волчиха. Перепад давления на фильтрах. Значение  тех. уставки 3. Уставка отключена";"Нет";"";"";
"22.11.2021 17:06:22.525";"ГРС Волчиха. Перепад давления на фильтрах. Значение  тех. уставки 2. Уставка включена";"Нет";"";"";
"22.11.2021 17:06:19.124";"ГРС Волчиха. Перепад давления на фильтрах. Значение  тех. уставки 2. Уставка отключена";"Нет";"";"";
"22.11.2021 17:06:15.121";"ГРС Волчиха. Перепад давления на фильтрах. Значение  тех. уставки 1. Уставка включена";"Нет";"";"";
"22.11.2021 17:06:07.718";"ГРС Волчиха. Перепад давления на фильтрах. Значение  тех. уставки 1. Уставка отключена";"Нет";"";"";
"22.11.2021 17:06:04.217";"ГРС Волчиха. Перепад давления на фильтрах. Значение нижнего предупредительного предела. Уставка отключена";"Нет";"";"";
"22.11.2021 17:06:00.717";"ГРС Волчиха. Перепад давления на фильтрах. Значение нижнего предупредительного предела. Уставка включена";"Нет";"";"";
"22.11.2021 17:05:58.117";"ГРС Волчиха. Перепад давления на фильтрах. Значение нижнего аварийного предела. Уставка включена";"Нет";"";"";
"22.11.2021 17:05:58.118";"ГРС Волчиха. Перепад давления на фильтрах. Значение нижнего аварийного предела";"Нет";"";"";
"22.11.2021 17:05:54.918";"ГРС Волчиха. Перепад давления на фильтрах. Значение нижнего аварийного предела. Уставка отключена";"Нет";"";"";
"22.11.2021 17:05:54.919";"ГРС Волчиха. Перепад давления на фильтрах. Сигнал в норме";"Нет";"";"";
"22.11.2021 17:05:48.317";"ГРС Волчиха. Перепад давления на фильтрах. Значение нижнего аварийного предела. Уставка включена";"Нет";"";"";
"22.11.2021 17:05:48.318";"ГРС Волчиха. Перепад давления на фильтрах. Значение нижнего аварийного предела";"Нет";"";"";
"22.11.2021 17:02:22.266";"ГРС Волчиха. Перепад давления на фильтрах. Значение нижнего предупредительного предела. Уставка включена";"Нет";"";"";
"22.11.2021 17:02:19.767";"ГРС Волчиха. Перепад давления на фильтрах. Значение нижнего аварийного предела. Уставка включена";"Нет";"";"";
"22.11.2021 17:02:19.768";"ГРС Волчиха. Перепад давления на фильтрах. Сигнал в норме";"Нет";"";"";
"22.11.2021 17:02:14.866";"ГРС Волчиха. Перепад давления на фильтрах. Значение нижнего аварийного предела. Уставка отключена";"Нет";"";"";
"22.11.2021 17:02:14.867";"ГРС Волчиха. Перепад давления на фильтрах. Значение нижнего аварийного предела";"Нет";"";"";
"22.11.2021 17:02:09.063";"ГРС Волчиха. Перепад давления на фильтрах. Значение нижнего аварийного предела. Уставка включена";"Нет";"";"";
"22.11.2021 17:02:09.064";"ГРС Волчиха. Перепад давления на фильтрах. Сигнал в норме";"Нет";"";"";
"22.11.2021 17:02:00.563";"ГРС Волчиха. Перепад давления на фильтрах. Значение нижнего аварийного предела. Уставка отключена";"Нет";"";"";
"22.11.2021 17:02:00.564";"ГРС Волчиха. Перепад давления на фильтрах. Значение нижнего аварийного предела";"Нет";"";"";
"22.11.2021 17:01:57.663";"ГРС Волчиха. Перепад давления на фильтрах. Значение нижнего аварийного предела. Уставка включена";"Нет";"";"";
"22.11.2021 17:01:57.664";"ГРС Волчиха. Перепад давления на фильтрах. Сигнал в норме";"Нет";"";"";
"22.11.2021 17:01:32.163";"ГРС Волчиха. Перепад давления на фильтрах. Значение нижнего аварийного предела. Уставка отключена";"Нет";"";"";
"22.11.2021 17:01:32.164";"ГРС Волчиха. Перепад давления на фильтрах. Значение нижнего аварийного предела";"Нет";"";"";
"22.11.2021 17:01:21.661";"ГРС Волчиха. Давление газа на входе. Значение нижнего аварийного предела. Уставка отключена";"Нет";"";"";
"22.11.2021 17:01:17.661";"ГРС Волчиха. Давление газа на входе. Значение нижнего аварийного предела. Уставка включена";"Нет";"";"";
"22.11.2021 16:55:10.850";"ГРС Волчиха. Давление газа на входе. Высокая скорость изменения";"Нет";"";"";
"22.11.2021 16:55:10.748";"ГРС Волчиха. Рассогласование Pвх. Сигнал снят";"Нет";"";"";
"22.11.2021 16:55:10.749";"ГРС Волчиха. Неисправность Pвх. Сигнал снят";"Нет";"";"";
"22.11.2021 16:55:10.646";"ГРС Волчиха. Давление газа на входе. Значение имитации. Уставка изменена";"Нет";"";"";
"22.11.2021 16:55:10.647";"ГРС Волчиха. Давление газа на входе. Сигнал в норме";"Нет";"";"";
"22.11.2021 16:55:00.047";"ГРС Волчиха. Давление газа на входе. Значение имитации. Уставка изменена";"Нет";"";"";
"22.11.2021 16:55:00.048";"ГРС Волчиха. Давление газа на входе. Значение нижнего аварийного предела";"Нет";"";"";
"22.11.2021 16:54:48.842";"ГРС Волчиха. Давление газа на входе. Команда с АРМ установить режим Имитации";"Нет";"";"";
"22.11.2021 16:54:48.843";"ГРС Волчиха. Давление газа на входе. Сигнал имитирован";"Нет";"";"";
"22.11.2021 16:54:45.042";"ГРС Волчиха. Давление газа на входе. Значение верхнего аварийного предела. Уставка отключена";"Нет";"";"";
"22.11.2021 16:54:43.342";"ГРС Волчиха. Давление газа на входе. Значение верхнего предупредительного предела. Уставка отключена";"Нет";"";"";
"22.11.2021 16:54:40.240";"ГРС Волчиха. Давление газа на входе. Значение нижнего предупредительного предела. Уставка отключена";"Нет";"";"";
"22.11.2021 16:54:40.241";"ГРС Волчиха. Давление газа на входе. Значение нижнего предупредительного предела";"Нет";"";"";
"22.11.2021 16:54:38.539";"ГРС Волчиха. Давление газа на входе. Значение нижнего аварийного предела. Уставка отключена";"Нет";"";"";
"22.11.2021 16:54:36.839";"ГРС Волчиха. Давление газа на входе. Значение тех. уставки 4. Уставка включена";"Нет";"";"";
"22.11.2021 16:54:34.937";"ГРС Волчиха. Давление газа на входе. Значение  тех. уставки 2. Уставка включена";"Нет";"";"";
"22.11.2021 16:54:33.137";"ГРС Волчиха. Давление газа на входе. Значение  тех. уставки 3. Уставка включена";"Нет";"";"";
"22.11.2021 16:54:29.836";"ГРС Волчиха. Давление газа на входе. Значение  тех. уставки 1. Уставка включена";"Нет";"";"";
"22.11.2021 16:44:09.259";"ГРС Волчиха. Давление газа на входе. Команда с АРМ снять режим Имитации";"Нет";"";"";
"22.11.2021 16:44:09.260";"ГРС Волчиха. Давление газа на входе. Имитация снята";"Нет";"";"";
"22.11.2021 16:43:38.554";"ГРС Волчиха. Давление газа на входе. Значение нижнего предупредительного предела. Уставка включена";"Нет";"";"";
"22.11.2021 16:43:38.555";"ГРС Волчиха. Давление газа на входе. Сигнал в норме";"Нет";"";"";
"22.11.2021 16:43:28.854";"ГРС Волчиха. Давление газа на входе. Значение нижнего аварийного предела. Уставка включена";"Нет";"";"";
"22.11.2021 16:43:02.653";"ГРС Волчиха. Давление газа на входе. Значение нижнего аварийного предела. Уставка отключена";"Нет";"";"";
"22.11.2021 16:42:47.853";"ГРС Волчиха. Давление газа на входе. Значение нижнего аварийного предела. Уставка включена";"Нет";"";"";
"22.11.2021 16:42:43.751";"ГРС Волчиха. Давление газа на входе. Команда с АРМ установить режим Имитации";"Нет";"";"";
"22.11.2021 16:42:43.752";"ГРС Волчиха. Давление газа на входе. Сигнал имитирован";"Нет";"";"";
"22.11.2021 16:42:32.748";"ГРС Волчиха. Давление газа на входе. Высокая скорость изменения";"Нет";"";"";
"22.11.2021 16:42:32.446";"ГРС Волчиха. Давление газа на входе. Команда с АРМ снять режим Имитации";"Нет";"";"";
"22.11.2021 16:42:32.447";"ГРС Волчиха. Давление газа на входе. Имитация снята";"Нет";"";"";
"22.11.2021 16:38:54.491";"ГРС Волчиха. Давление газа на входе. Значение нижнего предупредительного предела. Уставка отключена";"Нет";"";"";
"22.11.2021 16:38:54.492";"ГРС Волчиха. Давление газа на входе. Значение нижнего предупредительного предела";"Нет";"";"";
"22.11.2021 16:31:24.762";"ГРС Волчиха. Давление газа на входе. Значение нижнего предупредительного предела. Уставка включена";"Нет";"";"";
"22.11.2021 16:31:24.763";"ГРС Волчиха. Давление газа на входе. Сигнал в норме";"Нет";"";"";
"22.11.2021 16:31:14.361";"ГРС Волчиха. Давление газа на входе. Значение нижнего предупредительного предела. Уставка отключена";"Нет";"";"";
"22.11.2021 16:31:14.362";"ГРС Волчиха. Давление газа на входе. Значение нижнего предупредительного предела";"Нет";"";"";
"22.11.2021 16:24:34.849";"ГРС Волчиха. Давление газа на входе. Значение нижнего предупредительного предела. Уставка включена";"Нет";"";"";
"22.11.2021 16:24:34.850";"ГРС Волчиха. Давление газа на входе. Сигнал в норме";"Нет";"";"";
"22.11.2021 16:23:48.046";"ГРС Волчиха. Давление газа на входе. Значение нижнего предупредительного предела. Уставка отключена";"Нет";"";"";
"22.11.2021 16:23:48.047";"ГРС Волчиха. Давление газа на входе. Значение нижнего предупредительного предела";"Нет";"";"";
"22.11.2021 16:23:45.747";"ГРС Волчиха. Давление газа на входе. Значение нижнего аварийного предела. Уставка отключена";"Нет";"";"";
"22.11.2021 16:23:36.044";"ГРС Волчиха. Давление газа на входе. Значение нижнего предупредительного предела. Уставка включена";"Нет";"";"";
"22.11.2021 16:23:36.045";"ГРС Волчиха. Давление газа на входе. Сигнал в норме";"Нет";"";"";
"22.11.2021 16:23:24.539";"ГРС Волчиха. Давление газа на входе. Значение нижнего предупредительного предела. Уставка отключена";"Нет";"";"";
"22.11.2021 16:23:24.540";"ГРС Волчиха. Давление газа на входе. Значение нижнего предупредительного предела";"Нет";"";"";
"22.11.2021 16:23:13.033";"ГРС Волчиха. Давление газа на входе. Высокая скорость изменения";"Нет";"";"";
"22.11.2021 16:23:12.333";"ГРС Волчиха. Давление газа на входе. Значение имитации. Уставка изменена";"Нет";"";"";
"22.11.2021 16:22:51.731";"ГРС Волчиха. Давление газа на входе. Команда с АРМ установить режим Имитации";"Нет";"";"";
"22.11.2021 16:22:51.732";"ГРС Волчиха. Давление газа на входе. Сигнал имитирован";"Нет";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
"";"";"";"";"";
